pre,post,class_1,class_2,cluster_1,cluster_2,layer_1,layer_2,synapse_class,total_contacts,L1-0,L1-5,L1-8,L1-16,L2,L3,L4-JSH,Adult-50,Adult-N2U
ADAL,AWBL,ADA,AWB,Avoidance,Taxis,3,1,0,0,0,0,0,0,0,0,0,0,0
AWBL,ADAL,ADA,AWB,Taxis,Avoidance,1,3,0,0,0,0,0,0,0,0,0,0,0
ADAL,ADEL,ADA,ADE,Avoidance,Unclassified,3,1,1,1,0,0,0,0,0,0,1,0,0
ADEL,ADAL,ADA,ADE,Unclassified,Avoidance,1,3,2,12,1,2,1,0,1,2,1,2,2
ADAL,ASHL,ADA,ASH,Avoidance,Avoidance,3,1,1,6,0,1,0,0,2,1,1,0,1
ASHL,ADAL,ADA,ASH,Avoidance,Avoidance,1,3,3,16,1,1,2,2,2,2,2,2,2
ADAL,SAADL,ADA,SAA,Avoidance,Lateral,3,3,1,1,0,0,0,0,0,0,0,1,0
SAADL,ADAL,ADA,SAA,Lateral,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
ADAL,RMGL,ADA,RMG,Avoidance,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RMGL,ADAL,ADA,RMG,Sublateral,Avoidance,3,3,1,3,0,0,0,0,1,0,0,0,2
ADAL,ADLL,ADA,ADL,Avoidance,Taxis,3,1,1,2,0,0,0,0,0,0,1,0,1
ADLL,ADAL,ADA,ADL,Taxis,Avoidance,1,3,2,12,1,0,2,2,2,1,1,1,2
ADAL,RIML,ADA,RIM,Avoidance,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
RIML,ADAL,ADA,RIM,Lateral,Avoidance,3,3,1,5,0,0,1,0,0,1,1,1,1
ADAL,AVHR,ADA,AVH,Avoidance,Avoidance,3,3,1,2,0,0,1,0,0,1,0,0,0
AVHR,ADAL,ADA,AVH,Avoidance,Avoidance,3,3,1,3,0,1,0,1,1,0,0,0,0
ADAL,AVDR,ADA,AVD,Avoidance,Avoidance,3,3,1,9,2,2,0,1,0,1,0,1,2
AVDR,ADAL,ADA,AVD,Avoidance,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
ADAL,AVAR,ADA,AVA,Avoidance,Unclassified,3,3,2,13,2,2,2,0,1,2,1,2,1
AVAR,ADAL,ADA,AVA,Unclassified,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
ADAL,AVAL,ADA,AVA,Avoidance,Unclassified,3,3,2,14,1,1,2,1,1,2,2,2,2
AVAL,ADAL,ADA,AVA,Unclassified,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
ADAL,AVBL,ADA,AVB,Avoidance,Avoidance,3,3,3,18,2,2,2,2,2,2,2,2,2
AVBL,ADAL,ADA,AVB,Avoidance,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
ADAL,SIBDL,ADA,SIB,Avoidance,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIBDL,ADAL,ADA,SIB,Sublateral,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
ADAL,DVA,ADA,DVA,Avoidance,Sublateral,3,3,1,1,0,0,0,1,0,0,0,0,0
DVA,ADAL,ADA,DVA,Sublateral,Avoidance,3,3,1,4,0,0,1,0,1,1,0,1,0
ADAL,URXL,ADA,URX,Avoidance,Unclassified,3,1,2,2,0,0,0,0,0,0,0,0,2
URXL,ADAL,ADA,URX,Unclassified,Avoidance,1,3,2,11,2,1,1,0,2,2,1,0,2
ADAL,RICL,ADA,RIC,Avoidance,Sublateral,3,3,1,6,0,0,0,1,1,1,1,1,1
RICL,ADAL,ADA,RIC,Sublateral,Avoidance,3,3,2,12,0,1,1,2,1,2,1,2,2
ADAL,AVBR,ADA,AVB,Avoidance,Avoidance,3,3,3,17,1,2,2,2,2,2,2,2,2
AVBR,ADAL,ADA,AVB,Avoidance,Avoidance,3,3,0,0,0,0,0,0,0,0,0,0,0
SIADR,ALML,SIA,ALM,Sublateral,Avoidance,3,1,1,1,0,0,0,0,0,0,0,0,1
ALML,SIADR,SIA,ALM,Avoidance,Sublateral,1,3,1,1,0,0,0,0,0,0,0,0,1
SIADR,AVAL,SIA,AVA,Sublateral,Unclassified,3,3,1,1,0,0,0,0,0,0,0,0,1
AVAL,SIADR,SIA,AVA,Unclassified,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIADR,AVEL,SIA,AVE,Sublateral,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
AVEL,SIADR,SIA,AVE,Anterior,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIADR,AVKL,SIA,AVK,Sublateral,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
AVKL,SIADR,SIA,AVK,Lateral,Sublateral,3,3,1,5,0,0,0,1,0,0,1,2,1
SIADR,AIBL,SIA,AIB,Sublateral,Taxis,3,3,0,0,0,0,0,0,0,0,0,0,0
AIBL,SIADR,SIA,AIB,Taxis,Sublateral,3,3,1,6,1,0,0,0,0,2,1,0,2
SIADR,RMDDL,SIA,RMD,Sublateral,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
RMDDL,SIADR,SIA,RMD,Anterior,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIADR,RMDL,SIA,RMD,Sublateral,Unclassified,3,3,0,0,0,0,0,0,0,0,0,0,0
RMDL,SIADR,SIA,RMD,Unclassified,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIADR,SIADL,SIA,SIA,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIADL,SIADR,SIA,SIA,Sublateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIADR,SMDVL,SIA,SMD,Sublateral,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMDVL,SIADR,SIA,SMD,Lateral,Sublateral,3,3,1,1,0,0,0,0,0,0,0,0,1
AVJL,AVDL,AVJ,AVD,Avoidance,Avoidance,2,3,1,6,1,0,0,1,0,1,1,1,1
