ADA,14,3,2

ASH,15,5,1

AVJ,8,8,3

AVB,31,0,9

RIM,84,17,7

RIP,5,0,1

AIB,46,40,12

SMDD,11,16,27

SMDV,10,17,19

RMD,11,13,14

RIB,2,38,18

PVC,2,19,2

RIF,0,5,16

BDU,0,2,4

AVD,5,0,1

AVE,24,4,17

AVM,0,0,4

AIA,8,7,16

PVP,0,2,2

AQR,0,1,12

ALM,14,0,7

AIZ,46,30,16

SAAD,10,31,28

RIS,1,4,10

AVK,3,31,15

RIG,25,11,8

RMF,1,7,7

RMDV,5,22,21

RIV,0,3,4

PVT,2,3,4

AVA,40,0,1

RIA,51,18,8

SMBV,4,4,10

PLN,0,2,2

ADL,7,0,3

AWC,7,5,11

ASE,1,3,10

ASK,0,4,5

ASI,0,4,6

ASG,0,2,5

DVC,4,4,7

ADF,19,7,7

RIR,0,3,14

AWB,1,9,8

AIY,3,12,13

AWA,0,6,6

RIH,2,7,10

IL1V,2,3,1

URYV,0,1,4

IL1D,0,2,2

CEPD,14,10,16

URAD,0,1,2

CEPV,11,10,12

RIC,10,51,11

OLQD,2,4,10

URB,2,9,14

URX,2,6,12

OLQV,0,4,7

SAAV,0,6,3

ALN,0,2,2

SMBD,14,5,9

OLL,9,9,8

AIN,4,0,9

AUA,1,8,8

DVA,0,2,2

RMDD,2,19,12

SIAD,0,8,3

ADE,20,0,0

FLP,1,5,1

BAG,4,4,5

RMG,0,1,1

IL2,0,2,6

RMH,0,2,4

RMED,0,2,3

RMEV,0,0,3

AVH,0,2,2

AIM,1,1,2

PVQ,0,2,3

ASJ,0,1,3

URYD,0,2,2

URAV,0,3,2

RME,0,0,2

SIBV,0,1,1

IL1,1,5,0

IL2D,0,0,1

IL2V,0,0,1

