ADA,70,10,0

AIZ,36,49,3

AIB,3,22,82

AWC,11,19,0

AVB,0,0,131

RIF,26,19,0

RIM,15,71,20

PVC,21,44,9

AQR,38,6,0

PVP,47,28,0

AVM,12,7,0

AVF,6,10,0

AVJ,8,27,6

ADE,60,14,0

AVA,0,0,160

FLP,34,17,0

AUA,2,35,6

SAAD,6,30,6

DVC,31,9,0

RIB,7,58,27

SAAV,10,18,0

BAG,24,29,1

RIC,10,59,34

SDQ,8,14,0

CEPV,36,20,0

RIP,0,0,21

URAD,0,6,1

IL1D,4,13,1

IL1V,3,7,3

URAV,2,4,1

IL2D,2,5,0

IL2V,8,5,0

RIS,38,4,0

AVK,5,8,16

BDU,0,4,0

ALM,2,2,2

ASH,60,5,0

SMDV,0,4,30

OLL,51,19,0

URYV,51,15,0

RIV,28,4,0

RMG,37,13,0

RMD,0,9,57

RMF,11,10,1

IL2,6,9,0

RMH,2,11,0

RIG,0,23,19

AIY,3,13,8

AIN,4,8,0

RIH,13,9,0

SMDD,0,4,37

URYD,42,15,0

RMED,4,3,0

AIA,0,3,30

ASK,1,16,0

AIM,3,4,0

ASI,10,5,1

PVQ,2,5,0

ASG,3,13,1

ASE,0,12,1

AVD,0,0,25

RIA,7,27,47

RIR,3,5,4

URX,26,12,0

ADF,18,4,0

AWB,2,2,2

PVT,3,6,0

AVE,0,0,175

DVA,3,16,0

CEPD,42,9,0

ALA,5,12,0

ADL,23,8,0

OLQV,7,15,1

RMDV,0,6,73

IL1,11,24,1

RMDD,0,2,33

OLQD,8,11,1

AWA,5,2,0

SMBD,0,3,2

ALN,1,2,0

AVH,0,3,0

SMBV,1,3,2

RMEV,0,0,1

PLN,2,1,0

AFD,0,0,1

URB,3,8,0

RME,0,0,3

