ASH,5,0,0

ADA,5,2,0

AVA,0,0,5

AVB,0,0,19

AVJ,1,5,0

RIM,2,10,1

PVC,1,5,1

RIF,4,0,0

PVP,2,3,0

AVK,1,0,3

SAAD,2,1,0

RIS,3,0,0

SMDV,0,0,3

RMD,0,1,1

AIB,0,3,15

SMDD,0,1,0

AIZ,6,8,1

IL2V,4,0,0

IL1V,1,6,0

RIP,0,0,7

URAV,0,4,2

IL2D,2,0,0

URAD,0,1,0

IL1D,0,2,0

CEPV,5,0,0

AQR,4,0,0

DVC,2,0,0

RIB,0,8,1

ADE,4,0,0

FLP,0,3,0

AVM,1,0,0

AIA,0,7,4

ADF,8,1,0

RIA,0,0,10

AVD,0,0,1

RIG,1,3,1

AVE,0,0,8

DVA,1,0,0

AUA,0,4,0

URX,3,0,0

OLL,2,0,0

AWB,0,3,1

SMBD,0,0,2

RIR,0,2,1

SMBV,0,0,1

RIH,2,0,0

AWA,3,0,0

AIY,1,1,3

ASE,0,2,0

ADL,3,0,0

AWC,1,3,0

ASG,1,3,0

ASI,5,0,0

ASK,1,1,1

AIM,1,0,0

PVQ,1,1,0

ASJ,1,0,0

URYV,3,0,0

CEPD,5,0,0

URYD,0,2,0

OLQV,0,1,0

RIC,0,0,3

RMDD,0,0,2

URB,0,1,0

RMDV,0,0,3

OLQD,0,1,0

ALN,1,0,0

SAAV,0,1,0

RMG,1,0,0

PVT,1,0,0

RMF,0,1,0

RME,0,0,1

