Index,Dataset,Isoclass,Cell 1,Cell 2,Cell 3,Class 1,Class 2,Class 3,Spatial Domain 1,Spatial Domain 2,Spatial Domain 3,Brainmap Layer 1,Brainmap Layer 2,Brainmap Layer 3,Anatomical Class 1,Anatomical Class 2,Anatomical Class 3
1,Synapse 4,2,ADAL,AIZL,AIBR,ADA,AIZ,AIB,Avoidance,Taxis,Taxis,3,3,3,IN3,IN3,IN2
2,Synapse 4,2,ADAL,AWCL,AIBR,ADA,AWC,AIB,Avoidance,Taxis,Taxis,3,1,3,IN3,SN6,IN2
3,Synapse 4,2,ADAL,AIBL,AVBL,ADA,AIB,AVB,Avoidance,Taxis,Avoidance,3,3,3,IN3,IN2,IN1
4,Synapse 4,2,ADAL,RIFL,AVBL,ADA,RIF,AVB,Avoidance,Avoidance,Avoidance,3,3,3,IN3,IN3,IN1
5,Synapse 4,2,ADAL,RIMR,AVBL,ADA,RIM,AVB,Avoidance,Lateral,Avoidance,3,3,3,IN3,IN1,IN1
6,Synapse 4,2,ADAL,ADAR,AVBL,ADA,ADA,AVB,Avoidance,Avoidance,Avoidance,3,3,3,IN3,IN3,IN1
7,Synapse 4,2,ADAL,PVCL,AVBL,ADA,PVC,AVB,Avoidance,Avoidance,Avoidance,3,3,3,IN3,IN1,IN1
8,Synapse 4,2,ADAL,AQR,AVBL,ADA,AQR,AVB,Avoidance,Avoidance,Avoidance,3,1,3,IN3,SN4,IN1
9,Synapse 4,2,ADAL,PVPR,AVBL,ADA,PVP,AVB,Avoidance,Avoidance,Avoidance,3,3,3,IN3,IN3,IN1
10,Synapse 4,2,ADAL,PVPL,AVBL,ADA,PVP,AVB,Avoidance,Avoidance,Avoidance,3,3,3,IN3,IN3,IN1
11,Synapse 4,2,ADAL,AVM,AVBL,ADA,AVM,AVB,Avoidance,Avoidance,Avoidance,3,1,3,IN3,SN3,IN1
12,Synapse 4,2,ADAL,PVCR,AVBL,ADA,PVC,AVB,Avoidance,Avoidance,Avoidance,3,3,3,IN3,IN1,IN1
13,Synapse 4,2,ADAL,AVFL,AVBL,ADA,AVF,AVB,Avoidance,Taxis,Avoidance,3,3,3,IN3,IN3,IN1
